Date,Number of requests,Average score
2022-07-25,58,0.8827586206896553
2022-07-26,62,0.8806451612903226
2022-07-27,44,0.8772727272727273
2022-07-28,50,0.764
2022-07-29,28,0.7857142857142857
2022-07-30,30,0.7599999999999999
2022-07-31,72,0.8333333333333334
2022-08-01,70,0.8457142857142858
2022-08-02,66,0.8575757575757575
2022-08-03,65,0.8846153846153846
2022-08-04,55,0.8054545454545454
2022-08-05,20,0.8200000000000001
2022-08-06,20,0.6799999999999999
2022-08-07,43,0.8488372093023255
2022-08-08,49,0.8428571428571427
2022-08-09,49,0.8469387755102041
2022-08-10,62,0.8677419354838709
2022-08-11,54,0.8703703703703703
2022-08-12,17,0.7941176470588235
2022-08-13,17,0.7705882352941177
2022-08-14,39,0.8743589743589744
2022-08-15,48,0.8208333333333333
2022-08-16,54,0.8851851851851852
2022-08-17,57,0.8157894736842105
2022-08-18,66,0.8303030303030302
2022-08-19,31,0.8161290322580645
2022-08-20,27,0.8851851851851852
2022-08-21,67,0.8343283582089552
2022-08-22,53,0.8622641509433961
2022-08-23,47,0.8191489361702128
2022-08-24,64,0.8687499999999999
2022-08-25,45,0.8244444444444444
2022-08-26,21,0.7857142857142857
2022-08-27,20,0.6799999999999999
2022-08-28,71,0.8380281690140845
2022-08-29,62,0.8806451612903226
2022-08-30,65,0.8476923076923076
2022-08-31,69,0.7811594202898552
2022-09-01,62,0.8903225806451613
2022-09-02,34,0.8294117647058823
2022-09-03,45,0.731111111111111
2022-09-04,72,0.8888888888888888
2022-09-05,70,0.8571428571428571
2022-09-06,53,0.8622641509433963
2022-09-07,91,0.8516483516483516
2022-09-08,62,0.8838709677419354
2022-09-09,20,0.77
2022-09-10,21,0.8238095238095239
2022-09-11,62,0.864516129032258
2022-09-12,48,0.8374999999999999
2022-09-13,63,0.8396825396825397
2022-09-14,48,0.8208333333333333
2022-09-15,63,0.8682539682539683
2022-09-16,24,0.7416666666666667
2022-09-17,19,0.9
2022-09-18,42,0.8857142857142856
2022-09-19,63,0.8841269841269841
2022-09-20,52,0.823076923076923
2022-09-21,42,0.8999999999999999
2022-09-22,30,0.7866666666666667
2022-09-23,17,0.7588235294117647
2022-09-24,15,0.7400000000000001
2022-09-25,15,0.7933333333333332
2022-09-26,8,0.7999999999999999
2022-09-27,30,0.7333333333333333
2022-09-28,53,0.8358490566037736
2022-09-29,56,0.8821428571428571
2022-09-30,18,0.8111111111111111
2022-10-01,28,0.8642857142857142
2022-10-02,52,0.8807692307692307
2022-10-03,34,0.9
2022-10-04,15,0.7933333333333332
2022-10-05,17,0.8058823529411764
2022-10-06,60,0.8699999999999999
2022-10-07,30,0.8066666666666666
2022-10-08,26,0.8615384615384616
2022-10-09,22,0.8636363636363636
2022-10-10,20,0.82
2022-10-11,52,0.8653846153846154
2022-10-12,58,0.8724137931034484
2022-10-13,45,0.8466666666666666
2022-10-14,24,0.8666666666666667
2022-10-15,36,0.8333333333333334
2022-10-16,26,0.8076923076923077
2022-10-17,30,0.8466666666666668
2022-10-18,61,0.860655737704918
2022-10-19,48,0.8833333333333333
2022-10-20,40,0.8800000000000001
2022-10-21,0,
2022-10-22,0,
