member_id	ccid	vehicle
10000003091	200001	EM
10000003090	200001	XX
10000003091	200101	EM
10000003090	200101	XX
10000003091	200201	EM
10000003090	200201	XX
10000003091	500001	EM
10000003090	500001	XX
10000003091	500101	EM
10000003090	500101	XX
10000003091	500301	EM
10000003090	500301	XX
10000003091	600001	EM
10000003090	600001	XX
10000003091	600101	EM
10000003090	600101	XX
10000003091	600201	EM
10000003090	600201	XX
10000003091	700001	EM
10000003090	700001	XX
10000003091	700101	EM
10000003090	700101	XX
10000003091	700301	EM
10000003090	700301	XX
10000003091	800101	EM
10000003090	800101	XX
10000003091	810901	EM
10000003090	810901	XX
10000003091	820201	EM
10000003090	820201	XX
10000003091	2000001	EM
10000003090	2000001	XX
10000003091	2000101	EM
10000003090	2000101	XX
10000003091	5000001	EM
10000003090	5000001	XX
10000003091	5000002	EM
10000003090	5000002	XX
10000003091	5000101	EM
10000003090	5000101	XX
10000003091	5000102	EM
10000003090	5000102	XX
10000003091	5000201	EM
10000003090	5000201	XX
10000003091	5000202	EM
10000003090	5000202	XX
10000003091	5002601	EM
10000003090	5002601	XX
10000003091	5002602	EM
10000003090	5002602	XX
10000003091	5002801	EM
10000003090	5002801	XX
10000003091	5002802	EM
10000003090	5002802	XX
10000003091	5002901	EM
10000003090	5002901	XX
10000003091	5002902	EM
10000003090	5002902	XX
10000003091	5003001	EM
10000003090	5003001	XX
10000003091	5003002	EM
10000003090	5003002	XX
