id,BANK NAME,BRANCH,city,province,,name
60790,ธนาคาร กรุงไทย จำกัด (มหาชน),ย่อย เทสโก้ โลตัส กระบี่,เมืองกระบี่,กระบี่,TESCO LOTUS KRABI BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาย่อย เทสโก้ โลตัส กระบี่
61247,ธนาคาร กรุงไทย จำกัด (มหาชน),เขาพนม,เขาพนม,กระบี่,KHAO PHANOM BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาเขาพนม
61324,ธนาคาร กรุงไทย จำกัด (มหาชน),ลำทับ,ลำทับ,กระบี่,LAM THAP BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาลำทับ
60757,ธนาคาร กรุงไทย จำกัด (มหาชน),อ่าวนาง,เมืองกระบี่,กระบี่,AONANG BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาอ่าวนาง
60818,ธนาคาร กรุงไทย จำกัด (มหาชน),อ่าวลึก,อ่าวลึก,กระบี่,AO LUK BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาอ่าวลึก
60812,ธนาคาร กรุงไทย จำกัด (มหาชน),กระบี่,เมืองกระบี่,กระบี่,KRABI BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขากระบี่
60824,ธนาคาร กรุงไทย จำกัด (มหาชน),คลองท่อม,คลองท่อม,กระบี่,KLONG THOM BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาคลองท่อม
60973,ธนาคาร กรุงไทย จำกัด (มหาชน),ย่อย เกาะลันตา,เกาะลันตา,กระบี่,KOH LANTA BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาย่อย เกาะลันตา
60817,ธนาคาร กรุงไทย จำกัด (มหาชน),เหนือคลอง,เหนือคลอง,กระบี่,NUA KHLONG BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาเหนือคลอง
60073,ธนาคาร กรุงไทย จำกัด (มหาชน),การไฟฟ้าส่วนภูมิภาค,จตุจักร,กรุงเทพมหานคร,PROVINCIAL ELECTRICITY AUTHORITY BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาการไฟฟ้าส่วนภูมิภาค
60097,ธนาคาร กรุงไทย จำกัด (มหาชน),ประชานิเวศน์,จตุจักร,กรุงเทพมหานคร,PRACHANIWET BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาประชานิเวศน์
60013,ธนาคาร กรุงไทย จำกัด (มหาชน),ถนนศรีอยุธยา,ราชเทวี,กรุงเทพมหานคร,SI AYUTTHAYA ROAD BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาถนนศรีอยุธยา
60034,ธนาคาร กรุงไทย จำกัด (มหาชน),ประดิพัทธ์ 13,พญาไท,กรุงเทพมหานคร,PRADIPAT 13 BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาประดิพัทธ์ 13
60019,ธนาคาร กรุงไทย จำกัด (มหาชน),วิภาวดี - รังสิต 5,จตุจักร,กรุงเทพมหานคร,VIPHAVADI-RANGSIT 5 BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาวิภาวดี - รังสิต 5
60030,ธนาคาร กรุงไทย จำกัด (มหาชน),ราชเทวี,ราชเทวี,กรุงเทพมหานคร,RAJATHEVI BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาราชเทวี
61174,ธนาคาร กรุงไทย จำกัด (มหาชน),สังขละบุรี,สังขละบุรี,กาญจนบุรี,SUNGKHABURI BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาสังขละบุรี
60960,ธนาคาร กรุงไทย จำกัด (มหาชน),ย่อย ตลาดผาสุก กาญจนบุรี,เมืองกาญจนบุรี,กาญจนบุรี,TALAD PHASUK KANCHANABURI BRANCH,ธนาคาร กรุงไทย จำกัด (มหาชน) สาขาย่อย ตลาดผาสุก กาญจนบุรี
